customer_id,age,income,engagement_score,loyalty_years,region,gender,channel_preference,membership_tier
1,52,73106,41.303542423437136,1.1,North,M,Mobile,Bronze
2,42,57659,7.534974569883916,2.5,North,F,Store,Gold
3,54,37414,35.53323286297845,4.9,North,M,Mobile,Silver
4,67,26279,11.98881178034017,0.4,South,F,Online,Platinum
5,41,51488,81.015285790913,2.6,West,F,Mobile,Silver
6,41,44211,94.8211145704826,2.1,North,M,Store,Bronze
7,68,56817,8.159331050535922,0.5,West,F,Online,Platinum
8,56,49890,95.55640552187845,2.9,East,F,Mobile,Bronze
9,37,61376,52.73508333433777,1.0,East,F,Store,Bronze
10,53,27788,30.657002117433517,2.0,North,F,Online,Silver
11,38,70171,8.609345452340188,0.3,West,M,Mobile,Bronze
12,38,40086,50.561802538971364,1.8,North,F,Store,Silver
13,48,102501,79.65703890458411,1.1,East,F,Mobile,Bronze
14,18,25729,71.00156124940311,5.2,North,M,Mobile,Silver
15,19,86507,5.972375134933403,0.2,West,F,Online,Bronze
16,36,40092,8.217281701422447,1.6,East,F,Online,Gold
17,29,26220,40.88445498063108,1.8,South,F,Store,Gold
18,49,28511,30.233758910746385,3.9,East,F,Online,Bronze
19,31,30940,24.006047982548736,2.6,South,M,Store,Bronze
20,23,44895,28.819445391962645,3.3,North,F,Mobile,Bronze
21,66,47165,80.54479158639158,4.5,North,M,Mobile,Bronze
22,41,27259,92.99357730955353,5.9,West,F,Store,Gold
23,46,35875,41.105166758229075,1.1,South,F,Mobile,Gold
24,23,105993,90.70498921111721,2.3,North,F,Online,Bronze
25,36,86143,32.828074423540315,5.5,South,M,Mobile,Bronze
26,46,45168,48.16726164803537,13.7,North,F,Online,Bronze
27,27,37012,23.37687078378397,6.6,East,F,Store,Silver
28,50,38561,64.40712817540856,1.4,North,M,Store,Bronze
29,35,49353,97.91913040230608,0.7,West,M,Mobile,Platinum
30,40,21776,60.74581650829449,2.0,East,M,Mobile,Gold
31,35,31930,36.42359432724134,4.1,West,M,Online,Bronze
32,72,20000,65.1339271530623,2.0,East,F,Online,Silver
33,44,44338,13.16914716807337,2.0,South,F,Mobile,Platinum
34,29,50191,88.97724894627447,5.5,West,F,Mobile,Silver
35,57,28521,50.8053111272038,1.3,North,F,Store,Bronze
36,26,79777,45.485624461924566,5.9,South,M,Store,Bronze
37,48,20000,59.0006140568984,1.6,North,F,Store,Gold
38,18,20000,62.85360241615084,1.2,East,F,Mobile,Silver
39,25,40628,8.10580481642479,1.8,East,F,Mobile,Silver
40,47,61300,68.57910490111684,4.3,North,F,Mobile,Gold
41,56,84285,24.95123635123743,0.4,North,M,Store,Gold
42,47,28869,71.6813106181524,0.7,South,F,Mobile,Platinum
43,43,62276,82.43094464403548,9.1,North,F,Online,Bronze
44,40,35622,80.5918922476995,0.6,West,F,Mobile,Silver
45,22,33312,55.697595773381025,2.5,West,M,Mobile,Gold
46,34,56490,52.49681933876437,2.6,North,M,Mobile,Gold
47,38,50320,15.14472017260176,2.0,West,F,Mobile,Silver
48,60,20000,77.75926888991043,3.1,North,F,Mobile,Bronze
49,50,75983,27.869528664224724,0.8,South,F,Online,Gold
50,18,72406,50.172846858976705,2.4,West,M,Online,Gold
51,49,26561,29.143135199824155,1.4,West,F,Mobile,Bronze
52,39,44262,14.24900793696962,3.3,North,F,Store,Silver
53,34,46491,63.32621199228192,0.5,West,F,Mobile,Bronze
54,54,41371,6.378871447467479,2.5,East,M,Mobile,Bronze
55,60,27580,75.1158781784938,0.6,South,F,Mobile,Bronze
56,58,25956,32.44109273085055,1.0,South,F,Store,Silver
57,32,35854,1.0133346074440466,0.7,West,M,Store,Silver
58,40,65275,51.60178478448575,0.6,West,M,Store,Silver
59,49,47657,5.638338944232709,5.2,East,F,Online,Silver
60,59,30172,28.34078622426905,1.0,East,M,Store,Gold
61,37,53415,70.99067225811591,7.9,West,F,Online,Bronze
62,42,20000,7.20627254056472,10.5,West,M,Online,Bronze
63,28,64497,84.09451074324423,2.5,East,M,Store,Gold
64,27,20000,1.3781723431997277,0.5,North,F,Store,Bronze
65,57,30296,25.43556305098832,1.4,East,F,Store,Platinum
66,65,20747,74.34950155905507,4.8,North,F,Online,Gold
67,43,20000,32.31074482320137,1.4,South,M,Mobile,Silver
68,60,64887,11.08734641853534,0.3,South,F,Store,Platinum
69,50,28742,36.66315796124236,2.4,East,F,Store,Bronze
70,35,43185,27.768935352068027,5.6,North,F,Store,Bronze
71,50,35473,84.42847831389494,4.8,East,F,Online,Silver
72,68,46097,32.02144384092917,0.6,East,F,Online,Bronze
73,44,37737,79.10431470582472,3.4,North,M,Mobile,Platinum
74,68,20000,89.29534233626273,0.7,East,F,Store,Bronze
75,18,59762,43.94792453807642,0.7,South,F,Online,Silver
76,57,28370,91.0843712415848,6.2,West,M,Mobile,Silver
77,46,20000,38.354487342356094,0.9,West,F,Store,Silver
78,40,29317,96.44376323252071,0.9,East,F,Online,Bronze
79,46,76909,9.83966292803172,0.0,North,F,Store,Bronze
80,18,55554,69.01490738382103,6.1,North,F,Store,Gold
81,41,30505,49.887590005235936,4.7,South,F,Online,Bronze
82,50,30496,39.37723174010906,3.0,North,M,Online,Gold
83,67,30920,63.63847599611149,4.2,North,M,Online,Silver
84,37,102577,70.68185207179879,0.5,South,M,Store,Gold
85,32,43957,1.4319636953805996,1.8,East,F,Store,Gold
86,37,45027,17.528355785972675,1.3,West,M,Mobile,Bronze
87,58,60787,71.59155901279755,0.3,South,F,Store,Silver
88,49,40920,66.97215594424245,2.0,East,F,Online,Gold
89,37,31903,96.63870300773904,7.6,South,F,Store,Silver
90,52,32919,76.34274123482751,0.1,East,M,Mobile,Platinum
91,46,35038,95.12649806540247,1.0,South,M,Mobile,Silver
92,59,35645,70.55150965194589,0.7,East,M,Online,Bronze
93,34,52251,30.507168655304874,0.8,South,F,Online,Bronze
94,40,37271,11.43112730283479,7.2,East,M,Mobile,Platinum
95,39,52382,78.40056247114862,1.9,South,F,Mobile,Bronze
96,23,34879,64.77077292611567,1.9,West,M,Mobile,Gold
97,49,37771,5.7704152269363265,4.3,West,M,Online,Gold
98,48,20000,36.64499612419686,0.5,North,F,Mobile,Bronze
99,45,57420,95.72318173294433,2.0,East,F,Mobile,Bronze
100,41,43184,50.53971342530992,1.7,South,M,Online,Gold
101,23,59814,43.840184465950756,2.7,East,M,Store,Bronze
102,38,20000,46.31226091077011,20.0,West,M,Store,Gold
103,39,103175,21.67938967651121,4.4,East,F,Mobile,Silver
104,32,33867,37.50200991561473,1.5,South,F,Store,Silver
105,42,63202,37.611512342730485,5.3,East,M,Store,Gold
106,51,21591,6.183146998559768,0.6,South,M,Store,Bronze
107,73,49334,76.98919522327391,0.1,West,F,Store,Silver
108,47,21445,42.23393875848402,0.7,West,M,Mobile,Bronze
109,48,26585,82.39580879482591,1.2,West,F,Store,Bronze
110,43,94562,85.18445211086964,2.1,North,F,Store,Silver
111,18,33013,21.98741141516715,2.9,West,F,Online,Gold
112,44,40486,66.07799473484273,7.2,East,F,Mobile,Bronze
113,45,56108,47.75589861213519,2.1,North,F,Online,Silver
114,81,46529,88.13551705422702,2.1,West,F,Online,Silver
115,42,39152,22.35832723846896,0.2,East,M,Mobile,Bronze
116,49,43585,68.10350683069437,0.1,East,F,Store,Bronze
117,44,120777,61.167460103019536,2.4,East,F,Online,Platinum
118,27,35284,30.234846279611446,1.7,South,M,Mobile,Gold
119,62,40156,14.523489461466088,5.5,North,F,Store,Silver
120,56,61409,65.51233628725038,0.5,East,M,Mobile,Silver
121,56,63118,74.12114835510074,0.1,South,F,Online,Bronze
122,31,65743,32.24710703257165,1.8,West,M,Store,Silver
123,66,49979,64.83842779820907,0.8,East,M,Store,Silver
124,23,20506,40.11795985353882,0.2,South,F,Mobile,Silver
125,53,82183,71.60748144497916,3.9,East,F,Store,Bronze
126,77,20472,20.72231221451126,0.4,North,F,Online,Bronze
127,30,42248,89.13128526098126,2.8,North,F,Online,Bronze
128,36,24905,29.453550050092392,1.0,West,M,Online,Platinum
129,46,35169,37.410812787859136,0.6,East,M,Mobile,Silver
130,37,42803,6.751103255954629,1.4,South,M,Store,Silver
131,21,42645,12.039709019806363,4.9,West,F,Store,Bronze
132,46,44844,52.070328368520485,1.5,East,M,Store,Bronze
133,29,81377,27.49167499606918,4.2,West,F,Online,Gold
134,52,45559,83.71254234847724,0.4,South,F,Store,Silver
135,31,32142,2.4546454768404304,4.4,West,M,Online,Silver
136,68,58808,38.530310818521684,0.8,West,F,Store,Bronze
137,33,65823,34.397209130140176,3.4,West,M,Online,Gold
138,40,20000,2.9134354608425026,2.5,East,F,Store,Bronze
139,57,48957,13.312471501050512,7.9,South,M,Mobile,Bronze
140,26,51564,41.95062481694489,1.5,North,F,Mobile,Silver
141,48,31295,49.793593860297214,0.2,East,M,Online,Bronze
142,64,72247,41.02468497823204,0.1,North,M,Online,Bronze
143,20,33690,53.56283016279729,5.3,North,F,Store,Silver
144,47,38668,59.91803581566247,2.2,East,F,Store,Silver
145,48,33305,1.9824582916557274,4.5,East,M,Mobile,Gold
146,56,36599,46.945420785896886,0.8,South,F,Store,Silver
147,26,20991,96.38642484787124,1.3,South,F,Online,Bronze
148,25,20000,52.384195732825326,0.1,West,F,Online,Bronze
149,52,80599,68.07668447843636,9.8,North,M,Online,Platinum
150,49,23778,31.874521933771437,3.3,South,M,Online,Silver
151,48,22121,77.62514643712349,8.1,West,F,Online,Gold
